"Date","Price","Open","High","Low","Change %"
"02/14/2022","125.98","126.52","126.80","125.78","-0.32%"
"02/11/2022","126.39","125.75","126.73","125.59","0.47%"
"02/10/2022","125.80","126.64","126.81","125.55","-0.75%"
"02/09/2022","126.75","126.48","126.92","126.42","0.13%"
"02/08/2022","126.58","126.89","126.92","126.47","-0.26%"
"02/07/2022","126.91","126.84","127.03","126.70","0.11%"
"02/04/2022","126.77","127.58","127.75","126.73","-0.68%"
"02/03/2022","127.64","128.03","128.23","127.50","-0.37%"
"02/02/2022","128.12","127.88","128.30","127.77","0.19%"
"02/01/2022","127.88","128.02","128.36","127.69","-0.07%"
"01/31/2022","127.97","127.91","128.05","127.67","0.02%"
"01/28/2022","127.95","127.67","128.03","127.33","0.23%"
"01/27/2022","127.66","127.34","127.88","127.28","0.11%"
"01/26/2022","127.52","128.20","128.27","127.20","-0.47%"
"01/25/2022","128.12","128.20","128.53","128.03","-0.31%"
"01/24/2022","128.52","128.22","128.70","127.98","0.16%"
"01/21/2022","128.31","127.91","128.50","127.88","0.48%"
"01/20/2022","127.70","127.34","127.95","127.25","0.02%"
"01/19/2022","127.67","127.30","127.73","127.06","0.23%"
"01/18/2022","127.38","128.03","128.05","127.25","-0.39%"
"01/17/2022","127.88","127.77","127.88","127.73","0.02%"
"01/16/2022","127.84","128.02","128.03","127.83","-0.27%"
"01/14/2022","128.19","128.75","128.80","128.03","-0.41%"
"01/13/2022","128.72","128.38","128.84","128.25","0.11%"
"01/12/2022","128.58","128.47","128.70","128.33","0.15%"
"01/11/2022","128.39","128.27","128.47","128.03","0.20%"
"01/10/2022","128.14","128.33","128.38","127.94","-0.12%"
"01/07/2022","128.30","128.62","128.75","128.03","-0.18%"
"01/06/2022","128.53","128.84","129.00","128.44","-0.24%"
"01/05/2022","128.84","129.39","129.44","128.80","-0.34%"
"01/04/2022","129.28","129.50","129.59","129.12","-0.12%"
"01/03/2022","129.44","130.33","130.34","129.39","-0.79%"
"12/31/2021","130.47","130.44","130.58","130.31","0.05%"
"12/30/2021","130.41","130.19","130.50","130.17","0.15%"
"12/29/2021","130.22","130.62","130.73","130.09","-0.30%"
"12/28/2021","130.61","130.59","130.77","130.52","0.04%"
"12/27/2021","130.56","130.50","130.67","130.41","0.01%"
"12/23/2021","130.55","130.73","130.81","130.47","-0.14%"
"12/22/2021","130.73","130.75","130.89","130.53","-0.37%"
"12/21/2021","131.22","131.83","131.91","131.17","-0.46%"
"12/20/2021","131.83","131.98","132.19","131.77","0.53%"
"12/18/2021","131.14","131.14","131.14","131.14","-0.52%"
"12/17/2021","131.83","131.72","132.06","131.72","0.05%"
"12/16/2021","131.77","131.20","131.75","131.14","0.47%"
"12/15/2021","131.16","131.34","131.41","130.94","-0.11%"
"12/14/2021","131.30","131.47","131.55","131.17","-0.17%"
"12/13/2021","131.52","131.12","131.59","130.97","0.85%"
"12/11/2021","130.41","130.41","130.41","130.41","-0.52%"
"12/10/2021","131.09","131.05","131.38","130.78","0.01%"
"12/09/2021","131.08","130.88","131.23","130.70","0.12%"
"12/08/2021","130.92","131.19","131.42","130.67","-0.08%"
"12/07/2021","131.03","131.44","131.45","131.00","-0.24%"
"12/06/2021","131.34","131.92","131.92","131.31","-0.50%"
"12/04/2021","132.00","132.00","132.00","131.36","-0.09%"
"12/03/2021","132.12","131.47","132.27","131.14","0.62%"
"12/02/2021","131.31","131.73","131.78","131.19","-0.25%"
"12/01/2021","131.64","131.47","131.84","130.95","0.07%"
"11/30/2021","131.55","131.30","132.05","131.03","0.38%"
"11/29/2021","131.05","130.97","131.33","130.64","-0.09%"
"11/27/2021","131.17","131.17","131.17","131.17","0.00%"
"11/26/2021","131.17","129.84","131.33","129.75","0.71%"
"11/25/2021","130.25","129.84","130.25","129.75","0.32%"
"11/24/2021","129.83","129.77","130.11","129.50","0.04%"
"11/23/2021","129.78","129.97","130.06","129.59","-0.17%"
"11/22/2021","130.00","130.75","130.75","129.91","-0.56%"
"11/20/2021","130.73","130.73","130.73","130.73","-0.11%"
"11/19/2021","130.88","130.58","131.25","130.42","0.23%"
"11/18/2021","130.58","130.52","130.67","130.36","0.10%"
"11/17/2021","130.45","130.16","130.59","130.05","0.22%"
"11/16/2021","130.17","130.31","130.53","130.09","-0.10%"
"11/15/2021","130.30","130.62","130.86","130.23","-0.28%"
"11/13/2021","130.67","130.67","130.67","130.67","0.11%"
"11/12/2021","130.53","130.36","130.81","130.31","0.15%"
"11/11/2021","130.33","130.73","130.81","130.28","-0.31%"
"11/10/2021","130.73","131.75","131.78","130.56","-0.84%"
"11/09/2021","131.84","131.34","131.92","131.33","0.41%"
"11/08/2021","131.30","131.72","131.80","131.25","-0.40%"
"11/06/2021","131.83","131.83","131.83","131.83","0.00%"
"11/05/2021","131.83","131.22","131.95","131.05","0.40%"
"11/04/2021","131.31","130.59","131.44","130.56","0.41%"
"11/03/2021","130.77","130.92","131.17","130.48","-0.15%"
"11/02/2021","130.97","130.73","131.14","130.64","0.24%"
"11/01/2021","130.66","130.64","130.80","130.39","-0.03%"
"10/30/2021","130.70","130.70","130.70","130.70","0.00%"
"10/29/2021","130.70","130.69","130.88","130.23","-0.04%"
"10/28/2021","130.75","130.98","131.08","130.61","-0.32%"
"10/27/2021","131.17","130.64","131.22","130.44","0.43%"
"10/26/2021","130.61","130.59","130.70","130.36","0.04%"
"10/25/2021","130.56","130.48","130.69","130.25","0.06%"
"10/23/2021","130.48","130.48","130.48","130.48","0.11%"
"10/22/2021","130.34","130.00","130.50","129.98","0.12%"
"10/21/2021","130.19","130.44","130.58","129.97","-0.34%"
"10/20/2021","130.64","130.52","130.75","130.25","0.06%"
"10/19/2021","130.56","130.64","130.97","130.45","-0.16%"
"10/18/2021","130.77","130.91","130.94","130.44","-0.15%"
"10/15/2021","130.97","131.52","131.53","130.91","-0.40%"
"10/14/2021","131.50","131.31","131.61","131.19","0.21%"
"10/13/2021","131.22","131.11","131.48","130.80","0.06%"
"10/12/2021","131.14","130.84","131.23","130.80","0.23%"
"10/11/2021","130.84","131.03","131.05","130.80","-0.15%"
"10/09/2021","131.03","131.03","131.03","131.03","-0.08%"
"10/08/2021","131.14","131.34","131.58","131.03","-0.19%"
"10/07/2021","131.39","131.72","131.78","131.31","-0.25%"
"10/06/2021","131.72","131.73","131.84","131.41","-0.01%"
"10/05/2021","131.73","132.08","132.11","131.64","-0.26%"
"10/04/2021","132.08","132.19","132.27","131.86","-0.09%"
"10/02/2021","132.20","132.20","132.20","132.20","0.03%"
"10/01/2021","132.17","131.89","132.22","131.75","0.43%"
"09/30/2021","131.61","131.66","131.95","131.34","0.11%"
"09/29/2021","131.47","131.44","131.80","131.31","0.00%"
"09/28/2021","131.47","131.75","131.84","131.22","-0.25%"
"09/27/2021","131.80","132.08","132.17","131.61","-0.22%"
"09/25/2021","132.09","132.09","132.09","132.09","0.06%"
"09/24/2021","132.02","132.20","132.45","131.97","-0.27%"
"09/23/2021","132.38","133.19","133.19","132.16","-0.45%"
"09/22/2021","132.98","133.17","133.39","132.92","-0.66%"
"09/21/2021","133.86","133.86","133.97","133.64","0.01%"
"09/20/2021","133.84","133.38","133.91","133.38","0.76%"
"09/18/2021","132.83","132.83","132.83","132.83","-0.44%"
"09/17/2021","133.41","133.69","133.72","133.28","-0.22%"
"09/16/2021","133.70","133.98","134.05","133.56","-0.22%"
"09/15/2021","134.00","134.14","134.22","133.89","-0.15%"
"09/14/2021","134.20","133.91","134.31","133.73","0.21%"
"09/13/2021","133.92","133.80","133.98","133.72","0.59%"
"09/11/2021","133.14","133.14","133.14","133.14","-0.47%"
"09/10/2021","133.77","134.05","134.09","133.70","-0.24%"
"09/09/2021","134.09","133.88","134.19","133.77","0.17%"
"09/08/2021","133.86","133.61","133.91","133.61","0.18%"
"09/07/2021","133.62","133.97","133.97","133.53","0.25%"
"09/06/2021","133.28","133.97","133.97","133.23","-0.06%"
"09/05/2021","133.36","133.38","134.02","133.33","-0.49%"
"09/04/2021","134.02","134.02","134.02","133.38","0.01%"
"09/03/2021","134.00","134.19","134.48","133.88","-0.09%"
